,X,REGION,LAT,LONG,NAMA_UNIV,KODE,PROGRAM_STUDI,DAYA_TAMPUNG_2020,PEMINAT_2019,JENIS_PORTOFOLIO,nama_prodi,rumpun,DAYA_TAMPUNG_2019,jumlah_peminat_2018,jumlah_peminat_2017,daya_tampung_2018,daya_tampung_2017
76,76,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121121,PENDIDIKAN FISIKA,59,122,Tidak Ada,PENDIDIKAN FISIKA,Saintek,67,79,108,56,40
77,77,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121136,PENDIDIKAN KIMIA,64,109,Tidak Ada,PENDIDIKAN KIMIA,Saintek,46,76,100,53,48
78,78,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121144,PENDIDIKAN MATEMATIKA,68,114,Tidak Ada,PENDIDIKAN MATEMATIKA,Saintek,40,159,176,45,40
79,79,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121152,PENDIDIKAN VOKASIONAL TEKNIK MESIN,27,25,Tidak Ada,PENDIDIKAN TEKNIK MESIN,Saintek,49,102,92,55,55
80,80,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121167,SISTEM INFORMASI,105,393,Tidak Ada,SISTEM INFORMASI,Saintek,69,391,273,78,60
81,81,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121175,ILMU KELAUTAN,36,83,Tidak Ada,ILMU KELAUTAN,Saintek,55,161,167,58,63
82,82,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1121183,TEKNIK MATERIAL,55,103,Tidak Ada,TEKNIK MATERIAL,Saintek,55,  ,  ,  ,  
83,83,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122012,MANAJEMEN,190,353,Tidak Ada,MANAJEMEN,Soshum,143,1133,1184,151,140
84,84,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122027,AKUNTANSI,137,247,Tidak Ada,AKUNTANSI,Soshum,123,676,798,77,100
85,85,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122035,ILMU EKONOMI & STUDI PEMBANGUNAN,131,265,Tidak Ada,ILMU EKONOMI & STUDI PEMBANGUNAN,Soshum,155,394,454,149,124
86,86,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122043,ADMINISTRASI PUBLIK,181,303,Tidak Ada,ILMU ADMINISTRASI NEGARA,Soshum,135,745,783,182,150
87,87,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122051,SOSIOLOGI,98,202,Tidak Ada,SOSIOLOGI,Soshum,113,264,244,95,70
88,88,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122066,ILMU POLITIK,96,92,Tidak Ada,ILMU POLITIK,Soshum,97,224,221,101,100
89,89,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122074,ANTROPOLOGI,79,82,Tidak Ada,ANTROPOLOGI,Soshum,72,160,98,64,64
90,90,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122082,ILMU KOMUNIKASI,186,272,Tidak Ada,ILMU KOMUNIKASI,Soshum,161,668,575,140,115
91,91,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122097,HUKUM,257,273,Tidak Ada,ILMU HUKUM,Soshum,218,711,688,256,200
92,92,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122101,EKONOMI SYARIAH,101,151,Tidak Ada,EKONOMI ISLAM,Soshum,86,485,481,92,75
93,93,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122116,PSIKOLOGI,92,162,Tidak Ada,PSIKOLOGI,Soshum,74,505,458,60,60
94,94,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122124,PENDIDIKAN BAHASA INDONESIA,61,86,Tidak Ada,SASTRA INDONESIA,Soshum,42,237,280,55,40
95,95,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122132,ADMINISTRASI BISNIS,71,117,Tidak Ada,ILMU ADMINISTRASI NIAGA,Soshum,56,189,  ,53,  
96,96,SUMATERA,5.234128,96.9862922,UNIVERSITAS MALIKUSSALEH,1122147,KEWIRUSAHAAN,44,0,Tidak Ada,NA,NA,NA,NA,NA,NA,NA
